2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Financial clerks,43-3000,Summary,2977.7,2832.8,-144.9,-4.9,3.3,295.5,"$38,830",—,—,—
Bill and account collectors,43-3011,Line item,223.1,202.6,-20.5,-9.2,0.3,20.8,"$37,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,Line item,458.5,471.6,13.1,2.9,1.0,48.9,"$38,330",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1620.0,1571.9,-48.1,-3.0,5.5,170.2,"$45,560","Some college, no degree",None,Moderate-term on-the-job training
Gambling cage workers,43-3041,Line item,11.3,13.5,2.2,19.5,1.3,1.5,"$29,360",High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,Line item,137.3,119.7,-17.7,-12.9,0.5,11.4,"$47,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,Line item,63.0,59.8,-3.2,-5.1,—,5.2,"$45,150",High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,Line item,432.5,359.4,-73.1,-16.9,0.1,33.7,"$36,310",High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,Line item,31.9,34.3,2.4,7.5,2.7,3.7,"$46,900",High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,Summary,5676.1,5687.0,10.9,0.2,0.8,693.2,"$36,770",—,—,—
Brokerage clerks,43-4011,Line item,45.5,41.1,-4.4,-9.8,0.3,4.2,"$54,000",High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,Line item,7.0,6.8,-0.2,-2.9,10.1,0.7,"$37,920",High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,Line item,162.1,171.6,9.5,5.8,1.5,17.5,"$44,610",High school diploma or equivalent,None,Long-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,Line item,25.3,24.1,-1.2,-4.8,2.2,2.3,"$44,710",High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,Line item,2923.4,2888.8,-34.5,-1.2,0.4,361.7,"$36,920",High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,Line item,145.4,150.9,5.6,3.8,—,13.7,"$47,420",High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,Line item,99.7,87.1,-12.6,-12.6,5.4,9.6,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,Line item,221.0,257.3,36.3,16.4,0.0,42.8,"$28,080",High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,Line item,180.2,168.4,-11.8,-6.5,0.1,20.1,"$37,220",High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,Line item,88.0,87.5,-0.5,-0.6,0.3,13.4,"$29,450",High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,Line item,208.8,203.8,-5.0,-2.4,0.4,17.6,"$45,940",High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,Line item,46.1,38.4,-7.7,-16.7,—,3.2,"$37,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,Line item,133.9,109.5,-24.4,-18.2,10.7,10.4,"$37,920","Some college, no degree",None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,112.0,108.8,-3.2,-2.9,—,10.6,"$45,630",Associate's degree,None,None
Receptionists and information clerks,43-4171,Line item,1016.2,1060.0,43.8,4.3,0.6,134.0,"$29,950",High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,101.6,114.7,13.1,12.9,1.2,13.1,"$39,900",High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,Line item,159.9,168.1,8.2,5.1,0.1,18.3,"$43,160",High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,2213.0,2174.9,-38.0,-1.7,3.5,196.3,"$42,030",—,—,—
Cargo and freight agents,43-5011,Line item,95.6,105.1,9.5,9.9,—,10.7,"$46,910",High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,Line item,142.2,130.5,-11.7,-8.2,48.3,11.8,"$33,050",High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,Summary,287.5,303.6,16.1,5.6,1.3,28.6,"$45,510",—,—,—
Public safety telecommunicators,43-5031,Line item,95.4,103.2,7.8,8.2,—,9.8,"$46,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,192.1,200.4,8.3,4.3,2.0,18.7,"$44,050",High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,Line item,27.0,24.7,-2.3,-8.6,—,1.7,"$45,720",High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,Summary,500.9,457.6,-43.3,-8.6,—,31.9,"$51,730",—,—,—
Postal service clerks,43-5051,Line item,82.8,76.4,-6.4,-7.8,—,5.8,"$52,290",High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,Line item,317.7,293.1,-24.7,-7.8,—,19.1,"$52,440",High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,100.4,88.2,-12.2,-12.2,—,7.0,"$48,550",High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,Line item,365.7,393.6,27.9,7.6,0.3,41.0,"$48,040",High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and inventory clerks",43-5071,Line item,734.9,694.3,-40.6,-5.5,0.4,64.0,"$36,890",High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,59.1,65.4,6.3,10.7,1.6,6.5,"$37,610",High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,Summary,3363.9,3137.7,-226.2,-6.7,1.2,324.3,"$39,680",—,—,—
Executive secretaries and executive administrative assistants,43-6011,Line item,538.8,438.2,-100.6,-18.7,0.3,42.1,"$62,060",High school diploma or equivalent,Less than 5 years,None
Legal secretaries and administrative assistants,43-6012,Line item,160.4,126.7,-33.6,-21.0,—,12.0,"$47,710",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries and administrative assistants,43-6013,Line item,611.2,676.1,64.9,10.6,—,75.2,"$37,450",High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2053.5,1896.7,-156.9,-7.6,1.9,195.1,"$37,880",High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,Summary,3767.7,3664.0,-103.8,-2.8,1.1,405.6,"$37,180",—,—,—
Data entry and information processing workers,43-9020,Summary,203.7,151.8,-51.9,-25.5,2.6,14.2,"$36,850",—,—,—
Data entry keyers,43-9021,Line item,158.4,122.8,-35.6,-22.5,2.5,11.6,"$35,630",High school diploma or equivalent,None,Short-term on-the-job training
Word processors and typists,43-9022,Line item,45.2,28.9,-16.3,-36.0,3.2,2.6,"$44,030",High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,Line item,8.2,7.2,-1.0,-12.3,11.5,0.8,"$46,910",Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,Line item,277.9,281.8,3.9,1.4,—,26.7,"$45,520",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,82.2,78.7,-3.4,-4.2,—,8.8,"$32,550",High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,Line item,2933.9,2873.6,-60.4,-2.1,0.7,324.6,"$37,030",High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,Line item,41.7,36.1,-5.6,-13.5,—,3.8,"$36,630",High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Line item,7.9,8.3,0.4,5.3,5.9,1.1,"$43,940",Bachelor's degree,None,None
Statistical assistants,43-9111,Line item,10.4,11.3,0.8,7.9,3.3,1.3,"$48,160",Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,Line item,201.9,215.3,13.4,6.6,6.2,24.4,"$37,900",High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,Summary,1061.8,1088.4,26.6,2.5,8.0,169.2,"$29,860",—,—,—
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,53.2,57.8,4.6,8.7,18.7,8.3,"$48,640",—,—,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.2,57.8,4.6,8.7,18.7,8.3,"$48,640",High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,Summary,918.1,934.6,16.5,1.8,5.7,146.5,"$29,680",—,—,—
Agricultural inspectors,45-2011,Line item,16.6,18.2,1.5,9.1,—,2.9,"$45,140",Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,Line item,8.4,8.2,-0.3,-3.2,1.6,1.3,"$40,090",High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,Line item,32.5,32.1,-0.5,-1.4,—,4.7,"$29,630",No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,Summary,860.5,876.2,15.7,1.8,6.1,137.6,"$29,680",—,—,—
Agricultural equipment operators,45-2091,Line item,65.0,73.4,8.4,12.9,6.4,11.7,"$36,360",No formal educational credential,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,526.3,554.3,28.0,5.3,8.0,87.4,"$29,630",No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,256.9,235.5,-21.3,-8.3,2.0,36.4,"$29,630",No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,Line item,12.3,12.9,0.6,4.9,6.2,2.0,"$32,550",No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,Summary,32.3,35.8,3.4,10.6,41.9,5.3,—,—,—,—
Fishing and hunting workers,45-3031,Line item,32.3,35.8,3.4,10.6,41.9,5.3,—,No formal educational credential,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,Summary,58.1,60.2,2.1,3.5,14.7,9.1,"$39,050",—,—,—
Forest and conservation workers,45-4011,Line item,12.6,11.6,-1.0,-8.0,17.1,1.8,"$30,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,Summary,45.5,48.6,3.1,6.7,14.1,7.4,"$46,330",—,—,—
Fallers,45-4021,Line item,5.6,5.5,-0.1,-1.3,14.6,0.8,"$47,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,Line item,30.9,33.5,2.5,8.1,14.1,5.1,"$46,400",High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,Line item,4.0,4.3,0.3,7.7,14.3,0.7,"$37,820",High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,Line item,5.0,5.3,0.3,6.3,13.2,0.8,"$46,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,Summary,6971.1,7371.2,400.0,5.7,15.0,741.4,"$48,210",—,—,—
Supervisors of construction and extraction workers,47-1000,Summary,692.2,735.3,43.1,6.2,11.7,70.7,"$72,010",—,—,—
First-line supervisors of construction trades and extraction workers,47-1011,Line item,692.2,735.3,43.1,6.2,11.7,70.7,"$72,010",High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,Summary,5364.5,5658.5,294.0,5.5,17.6,558.1,"$47,860",—,—,—
Boilermakers,47-2011,Line item,14.9,14.7,-0.2,-1.0,5.3,1.3,"$64,290",High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,83.5,79.6,-3.9,-4.6,16.6,7.2,"$56,950",—,—,—
Brickmasons and blockmasons,47-2021,Line item,69.6,65.9,-3.7,-5.3,16.5,6.0,"$59,340",High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,Line item,13.9,13.7,-0.2,-1.4,16.6,1.3,"$47,610",High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,Line item,942.9,963.0,20.1,2.1,25.6,89.3,"$48,260",High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,Summary,117.6,125.1,7.5,6.4,29.8,11.0,"$47,310",—,—,—
Carpet installers,47-2041,Line item,32.6,30.7,-1.9,-5.9,29.8,2.5,"$46,640",No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,23.7,26.6,2.9,12.3,29.8,2.4,"$48,060",No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,Line item,7.2,7.5,0.3,4.5,29.9,0.7,"$39,140",No formal educational credential,None,Moderate-term on-the-job training
Tile and stone setters,47-2044,Line item,54.1,60.3,6.2,11.5,29.8,5.4,"$47,810",No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,197.1,195.0,-2.1,-1.1,1.1,17.4,"$47,360",—,—,—
Cement masons and concrete finishers,47-2051,Line item,194.1,192.2,-1.9,-1.0,1.1,17.2,"$47,340",No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,Line item,3.0,2.7,-0.3,-8.5,—,0.2,"$48,680",High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,Line item,1285.2,1388.3,103.2,8.0,25.2,140.1,"$37,770",No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,47-2070,Summary,457.2,482.1,24.9,5.4,1.8,51.5,"$48,290",—,—,—
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,44.8,47.4,2.5,5.6,1.8,5.1,"$46,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Pile driver operators,47-2072,Line item,3.9,4.1,0.2,4.8,2.2,0.4,"$76,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,Line item,408.5,430.7,22.2,5.4,1.8,46.0,"$48,360",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,141.0,147.1,6.1,4.3,17.5,12.3,"$48,350",—,—,—
Drywall and ceiling tile installers,47-2081,Line item,121.2,127.2,6.0,4.9,17.5,10.7,"$48,040",No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,Line item,19.8,19.9,0.1,0.5,17.5,1.6,"$61,080",No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,Line item,729.6,795.7,66.1,9.1,8.7,84.7,"$60,040",High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,Line item,53.6,56.1,2.5,4.7,3.2,6.0,"$47,180",High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,Summary,61.5,64.6,3.1,5.0,1.2,6.1,"$46,760",—,—,—
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,33.3,34.9,1.6,4.9,1.2,3.3,"$39,880",No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,Line item,28.2,29.6,1.4,5.1,1.2,2.8,"$48,260",High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,Summary,355.4,374.1,18.6,5.2,38.5,33.1,"$45,630",—,—,—
"Painters, construction and maintenance",47-2141,Line item,350.8,369.1,18.3,5.2,38.5,32.7,"$45,590",No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,Line item,4.6,4.9,0.3,6.4,39.9,0.4,"$47,610",No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,504.9,527.8,22.8,4.5,10.0,54.5,"$59,310",—,—,—
Pipelayers,47-2151,Line item,35.1,34.5,-0.5,-1.5,4.8,3.5,"$45,980",No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,469.9,493.2,23.4,5.0,10.4,51.0,"$59,880",High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,Line item,26.1,27.8,1.8,6.8,4.1,2.4,"$48,340",No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,Line item,22.1,23.2,1.2,5.3,16.5,2.2,"$48,830",High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,Line item,153.7,160.8,7.1,4.6,18.4,15.6,"$47,110",No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,Line item,135.4,140.2,4.8,3.6,4.8,13.1,"$53,440",High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,Line item,71.0,75.3,4.2,5.9,0.3,7.9,"$58,550",High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,Line item,11.8,17.9,6.1,52.1,—,2.3,"$47,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,Summary,229.1,235.0,5.9,2.6,0.5,27.7,"$36,510",—,—,—
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,20.9,20.1,-0.8,-3.9,0.5,2.3,"$37,870",No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,Line item,31.0,31.2,0.2,0.7,0.5,3.7,"$36,690",No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,Line item,75.5,76.2,0.7,0.9,0.5,8.9,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,9.4,10.0,0.6,6.8,—,1.2,"$33,370",No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,56.2,59.4,3.1,5.6,0.5,7.1,"$35,720",High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,Line item,8.2,8.6,0.4,4.8,—,1.0,"$36,360",No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,Line item,27.8,29.5,1.7,5.9,0.4,3.5,"$36,690",No formal educational credential,None,Short-term on-the-job training
Other construction and related workers,47-4000,Summary,459.5,478.4,19.0,4.1,4.4,52.4,"$47,910",—,—,—
Construction and building inspectors,47-4011,Line item,129.3,125.6,-3.8,-2.9,11.1,14.3,"$61,640",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator and escalator installers and repairers,47-4021,Line item,24.8,26.3,1.5,6.1,—,2.5,"$97,860",High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,Line item,28.0,29.2,1.2,4.3,4.5,3.0,"$37,700",No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,Line item,44.5,47.4,2.9,6.6,1.4,5.8,"$46,300",High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,Line item,153.8,163.1,9.3,6.0,0.6,17.1,"$45,880",High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,Line item,15.7,16.5,0.8,5.3,8.1,1.5,"$61,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.4,34.8,4.4,14.3,2.3,4.2,"$44,810",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,Line item,32.9,35.6,2.7,8.1,2.8,4.2,"$39,850",High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,Summary,225.9,264.0,38.1,16.9,1.5,32.5,"$47,600",—,—,—
"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,67.3,83.8,16.5,24.6,0.6,10.5,"$48,740",—,—,—
"Derrick operators, oil and gas",47-5011,Line item,9.0,11.7,2.7,29.7,0.6,1.5,"$47,230",No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,Line item,15.2,19.2,4.0,26.4,0.6,2.4,"$56,380",No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil and gas",47-5013,Line item,43.1,52.9,9.8,22.9,0.6,6.6,"$48,410",No formal educational credential,None,Moderate-term on-the-job training
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,41.3,43.1,1.8,4.5,2.4,5.1,—,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Continuous mining machine operators,47-5041,Line item,15.2,16.1,0.9,5.7,2.6,1.9,"$60,300",No formal educational credential,None,Moderate-term on-the-job training
"Roof bolters, mining",47-5043,Line item,2.1,1.9,-0.1,-6.9,2.7,0.2,"$59,770",High school diploma or equivalent,None,Moderate-term on-the-job training
"Loading and moving machine operators, underground mining",47-5044,Line item,3.5,3.3,-0.2,-5.5,2.7,0.4,"$57,900",No formal educational credential,None,Short-term on-the-job training
"Rock splitters, quarry",47-5051,Line item,4.6,4.9,0.3,6.0,2.7,0.6,"$37,700",No formal educational credential,None,Short-term on-the-job training
"Roustabouts, oil and gas",47-5071,Line item,43.5,56.4,12.9,29.5,0.6,7.2,"$38,920",No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,Line item,12.6,15.5,2.9,23.0,2.7,1.9,"$37,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,Line item,23.2,25.1,1.8,8.0,2.2,3.0,"$48,610",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
"Underground mining machine operators and extraction workers, all other",47-5098,Line item,12.6,13.9,1.3,10.2,2.6,1.7,"$53,380",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,Summary,5847.3,6239.8,392.5,6.7,4.3,612.7,"$47,940",—,—,—
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,484.1,515.8,31.7,6.6,0.1,47.4,"$71,260",—,—,—
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,484.1,515.8,31.7,6.6,0.1,47.4,"$71,260",High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,552.8,564.1,11.2,2.0,5.0,57.1,"$55,820",—,—,—
"Computer, automated teller, and office machine repairers",49-2011,Line item,102.4,100.2,-2.2,-2.2,11.4,10.5,"$40,970","Some college, no degree",None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,Summary,209.3,207.6,-1.7,-0.8,2.5,23.1,"$60,360",—,—,—
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,13.5,14.1,0.5,3.9,2.3,1.6,"$60,360",Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,195.8,193.5,-2.2,-1.1,2.5,21.5,"$60,370",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,241.1,256.3,15.2,6.3,4.6,23.5,"$58,780",—,—,—
Avionics technicians,49-2091,Line item,21.2,23.2,2.1,9.7,—,1.7,"$69,280",Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,Line item,17.8,19.1,1.2,6.9,13.7,1.9,"$46,910",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.1,9.7,0.6,6.7,—,0.8,"$77,250",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,56.4,59.0,2.5,4.5,—,4.7,"$61,730",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,23.1,22.5,-0.5,-2.4,—,1.7,"$93,420",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,10.2,8.5,-1.6,-16.2,—,0.6,"$40,670",High school diploma or equivalent,None,Moderate-term on-the-job training
Audiovisual equipment installers and repairers,49-2097,Line item,29.9,28.8,-1.1,-3.8,15.0,3.0,"$44,790",Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,Line item,73.4,85.5,12.1,16.4,5.5,9.2,"$48,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,1702.8,1787.1,84.3,5.0,7.8,176.5,"$47,410",—,—,—
Aircraft mechanics and service technicians,49-3011,Line item,130.1,145.4,15.3,11.8,3.5,12.7,"$65,380",Postsecondary nondegree award,None,None
Automotive technicians and repairers,49-3020,Summary,877.3,889.2,11.9,1.4,10.6,86.5,"$46,910",—,—,—
Automotive body and related repairers,49-3021,Line item,153.7,161.8,8.1,5.3,10.3,15.2,"$47,270",High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,Line item,19.7,21.5,1.7,8.8,5.9,2.3,"$37,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,Line item,703.8,705.9,2.1,0.3,10.8,69.0,"$46,880",Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,275.4,296.8,21.4,7.8,7.4,28.1,"$48,690",High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,220.8,245.0,24.3,11.0,3.4,25.1,"$53,770",—,—,—
Farm equipment mechanics and service technicians,49-3041,Line item,47.6,52.9,5.3,11.1,3.0,5.4,"$46,910",High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.1,169.9,17.8,11.7,3.5,17.5,"$58,030",High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,Line item,21.1,22.2,1.1,5.2,3.8,2.2,"$60,250",High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,Summary,69.0,75.4,6.5,9.4,4.4,8.6,"$39,050",—,—,—
Motorboat mechanics and service technicians,49-3051,Line item,21.7,24.6,2.9,13.3,4.5,2.8,"$46,730",High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Line item,14.0,15.4,1.4,9.6,4.6,1.7,"$38,170",Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,Line item,33.3,35.5,2.2,6.7,4.4,4.0,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,130.2,135.2,5.0,3.8,2.7,15.6,"$30,370",—,—,—
Bicycle repairers,49-3091,Line item,12.1,12.5,0.4,3.7,2.6,1.4,"$34,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,Line item,15.4,18.1,2.7,17.2,2.7,2.2,"$43,560",High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,Line item,102.7,104.6,1.9,1.8,2.7,12.0,"$29,580",High school diploma or equivalent,None,Short-term on-the-job training
